日期,天氣,降雨量mm,資料來源
2026-06-05,雨,41.8,Open-Meteo
2026-06-06,雨,7.9,Open-Meteo
2026-06-07,雨,4.2,Open-Meteo
2026-06-08,雨,33.5,Open-Meteo
2026-06-09,雨,54.4,Open-Meteo
2026-06-10,雨,41.1,Open-Meteo
2026-06-11,雨,16.8,Open-Meteo
2026-06-12,雨,24.9,Open-Meteo
2026-06-13,晴,0.0,Open-Meteo
2026-06-14,雨,30.3,Open-Meteo
2026-06-15,雨,35.6,Open-Meteo
2026-06-16,雨,12.2,Open-Meteo
2026-06-17,雨,2.5,Open-Meteo
2026-06-18,晴,0.0,Open-Meteo
2026-06-19,晴,0.0,Open-Meteo
2026-06-20,晴,0.0,Open-Meteo
2026-06-21,晴,0.0,Open-Meteo
2026-06-22,晴,0.0,Open-Meteo
2026-06-23,晴,0.0,Open-Meteo
2026-06-24,雨,5.5,Open-Meteo
2026-06-25,雨,62.1,Open-Meteo
2026-06-26,雨,51.2,Open-Meteo
2026-06-27,雨,49.5,Open-Meteo
2026-06-28,晴,0.2,Open-Meteo
2026-06-29,晴,0.0,Open-Meteo
2026-06-30,晴,0.1,Open-Meteo
2026-07-01,晴,0.1,Open-Meteo
2026-07-02,晴,0.9,Open-Meteo
2026-07-03,晴,0.2,Open-Meteo
2026-07-04,晴,0.4,Open-Meteo
2026-07-05,晴,0.8,Open-Meteo
2026-07-06,晴,0.0,Open-Meteo
2026-07-07,晴,0.0,Open-Meteo
2026-07-08,晴,0.0,Open-Meteo
2026-07-09,晴,0.1,Open-Meteo
2026-07-10,晴,0.6,Open-Meteo
2026-07-11,雨,23.4,Open-Meteo
2026-07-12,雨,12.8,Open-Meteo
2026-07-13,雨,2.7,Open-Meteo
2026-07-14,雨,7.1,Open-Meteo
2026-07-15,雨,9.2,Open-Meteo
2026-07-16,雨,14.0,Open-Meteo
2026-07-17,雨,10.0,Open-Meteo
2026-07-18,雨,11.9,Open-Meteo
2026-07-19,雨,11.2,Open-Meteo
2026-07-20,雨,8.4,Open-Meteo
2026-07-21,晴,0.5,Open-Meteo
2026-07-22,晴,0.4,Open-Meteo
2026-07-23,雨,1.5,Open-Meteo
2026-07-24,雨,3.2,Open-Meteo
